session_id,usb_entropy,usb_state_code,api_call_freq,permission_count,system_cpu_load,system_mem_usage,behavioral_score,signature_score,event_code,label
1,2.688853627,2,492,11,11.10766405,1874.064158,0.528881402,0.930235871,173,0
2,0.817233747,1,144,4,93.85449495,1209.978201,0.598371902,0.012482368,572,0
3,3.087837662,1,367,14,73.66075275,866.8340463,0.400626654,0.203413476,591,0
4,3.302675504,0,197,4,47.38378702,3649.708743,0.611512816,0.978754847,777,0
5,2.349450106,1,104,10,52.1705768,1060.95948,0.668049248,0.442912403,831,0
6,3.370049728,0,355,14,81.82650467,2800.292132,0.079949754,0.884894866,221,0
7,1.307221761,3,202,2,65.09412283,549.0503033,0.680282945,0.123868038,968,0
8,0.834097212,2,295,9,50.57867589,118.598354,0.879800683,0.513223036,557,0
9,0.893814737,1,385,9,74.0096983,3675.620309,0.901905319,0.009451578,320,0
10,1.200503179,1,450,14,64.04072172,3642.452915,0.007854849,0.504019865,221,0
11,1.213798559,0,359,14,86.79127424,2010.840604,0.969997365,0.301680121,677,0
12,2.681471781,0,256,7,26.07353724,129.9277692,0.562022791,0.006532976,811,0
13,3.241840691,3,411,11,82.08504445,268.0720264,0.081211779,0.454131713,935,0
14,2.797503354,1,396,14,85.79183321,3336.301233,0.015220447,0.277141036,538,0
15,0.292330171,1,333,10,90.43955357,3388.625789,0.031249042,0.04912925,518,1
16,0.302383014,4,284,14,16.92231005,668.2909563,0.327195029,0.11319017,319,0
17,1.756109214,1,150,11,46.81601725,1502.940535,0.468062304,0.071463857,943,0
18,1.117228328,0,256,4,79.85012025,1037.7926,0.762887988,0.721922257,243,0
19,0.388294875,3,339,1,25.56469995,967.1722157,0.912749614,0.913715337,439,0
20,3.377268646,2,379,7,83.44091246,2344.089131,0.988246701,0.557040347,263,1
21,3.102933932,0,113,3,75.67383191,1506.323672,0.634544396,0.522555075,994,0
22,3.282036202,0,65,5,59.26098505,2971.345552,0.341351247,0.891991897,977,0
23,2.266346681,0,423,9,7.248372812,3931.325579,0.846325134,0.431474163,450,0
24,3.418890526,4,62,5,91.17649366,3039.112231,0.863799336,0.82619049,287,0
25,2.003249749,2,365,2,24.946099,798.9826643,0.159065323,0.177949926,185,0
26,1.645171062,4,168,9,69.41410116,87.51224716,0.320068257,0.418420463,635,0
27,3.053115812,4,343,18,37.21469945,2654.19628,0.603029741,0.394725519,468,0
28,2.373606076,1,221,2,52.25492274,3659.167827,0.123004565,0.908271473,495,0
29,1.463907015,4,414,14,73.54907369,1302.175916,0.829667587,0.740651602,419,0
30,0.770370659,0,404,12,52.39921442,2318.794167,0.030358146,0.745514497,912,0
31,2.394233839,0,321,12,84.52948815,257.4863316,0.52998231,0.241201764,992,0
32,2.542676561,4,401,14,15.1163767,2579.351534,0.483384195,0.859089151,256,0
33,3.494930407,1,10,10,59.37660708,2103.632506,0.895961678,0.446591451,744,0
34,2.447662233,0,50,5,83.77106439,826.4637288,0.912055992,0.066118103,600,1
35,0.382136225,3,263,16,41.31809746,2913.303131,0.788685803,0.609508158,414,0
36,0.794524753,0,486,19,2.806550844,1969.670349,0.234628105,0.997323464,330,0
37,1.34777949,0,307,14,60.78470309,2261.461797,0.485947215,0.604726278,868,0
38,2.988997352,3,133,19,74.64915418,1951.092495,0.381386759,0.61909065,890,0
39,0.243255137,0,283,2,74.47126347,83.81566078,0.575855837,0.241355337,868,0
40,1.675513284,2,84,9,30.91412916,3465.591019,0.45504557,0.215314255,210,0
41,0.322790453,4,308,4,61.28320729,3191.927788,0.209672316,0.21196595,618,0
42,1.540606724,1,496,13,90.68433774,2414.005288,0.598041582,0.47512251,591,0
43,1.246292463,2,61,4,80.05238195,3569.673498,0.323208052,0.271768527,473,0
44,0.69852092,1,259,5,9.13746432,1525.230872,0.13960821,0.472551043,836,1
45,1.813524162,3,394,12,28.13878112,960.5481537,0.330815618,0.947105958,537,0
46,2.504968377,1,293,12,53.62698422,2918.557569,0.332499135,0.739293478,303,0
47,1.953810638,4,150,2,5.391817785,1819.475727,0.041921393,0.777600366,261,0
48,2.332822894,2,314,14,51.84078285,421.0929265,0.422400216,0.29544759,483,0
49,1.010532436,1,122,13,64.67932005,1546.227635,0.615676512,0.489858421,728,0
50,1.775045421,4,366,18,35.71431754,3517.553191,0.509011014,0.491629422,400,0
51,0.396648032,4,225,8,45.06863536,658.0567275,0.86476921,0.523987592,366,0
52,0.495491425,2,232,19,94.84377979,2373.71139,0.48568462,0.38337374,497,0
53,1.775800698,1,352,8,8.01916096,3240.594742,0.727962011,0.22180377,227,0
54,0.272321677,3,141,2,75.66217001,1367.158322,0.462130473,0.549003522,585,0
55,3.236261199,3,305,12,50.7575467,1517.401532,0.497546688,0.777408766,552,0
56,1.007761039,4,135,10,52.49678312,1282.22233,0.053026135,0.653562247,504,0
57,2.940507596,0,89,2,56.75237574,725.4260484,0.086847213,0.308551126,439,0
58,2.495849767,2,299,8,9.000107109,1894.784437,0.639041781,0.481829894,357,0
59,2.528218004,3,114,10,76.31872859,3507.579809,0.343465057,0.061457736,277,0
60,0.615411276,3,37,5,48.37759602,2269.114413,0.605613702,0.192561331,529,1
61,2.88960364,2,467,14,66.04136931,2560.305165,0.478486398,0.4932767,628,0
62,2.93745105,2,82,4,5.055872959,2427.087806,0.879585575,0.3800055,413,0
63,2.949410136,1,189,15,67.94342114,2113.080806,0.971029407,0.501492658,133,0
64,2.662306081,1,190,6,77.69526814,3879.969356,0.636531956,0.524757298,988,0
65,2.495755006,4,426,7,46.58561449,759.5282044,0.203211742,0.261704613,625,0
66,1.801839518,2,190,7,85.57442657,448.0644241,0.417426833,0.935721466,723,0
67,1.40802113,4,41,15,46.50385618,1741.243096,0.714306618,0.697480445,277,0
68,0.490643464,4,346,13,74.32042838,3333.266626,0.557082103,0.242576343,687,0
69,1.896822722,0,65,10,4.292725957,3724.05134,0.077432045,0.68304526,621,0
70,3.126028606,3,68,10,93.37438157,1028.824413,0.411488247,0.416077899,435,0
71,0.864794951,1,169,3,29.28546547,1911.320366,0.162147388,0.795239983,769,0
72,1.656278874,2,304,7,22.24252061,1786.557046,0.801490016,0.518969448,468,1
73,0.868648272,1,213,19,80.80664838,3951.631346,0.683583722,0.510302227,894,0
74,0.811078992,0,58,6,11.87877214,1247.612569,0.754031147,0.075495745,866,1
75,1.044396155,4,191,7,5.942575975,3782.22072,0.202579851,0.078507593,598,0
76,2.82388091,3,64,15,15.53578864,1171.113313,0.013982532,0.658005833,323,0
77,0.838962858,1,488,11,85.97206441,1285.897554,0.816161114,0.322937345,832,1
78,2.459951977,3,345,6,30.31316837,1856.054293,0.695364296,0.532454067,469,1
79,1.64116103,3,199,14,26.46111202,1287.541379,0.14938233,0.768626128,341,0
80,0.814360822,2,419,5,50.9588656,3860.772102,0.852480698,0.616503525,953,0
81,0.852944342,4,221,16,8.164914291,511.1307912,0.050462115,0.29085477,950,0
82,1.660960866,0,128,4,10.68285345,1081.521487,0.601298341,0.95805615,501,0
83,2.076815648,3,190,7,45.38461216,365.47664,0.627878381,0.970356336,958,0
84,3.225900395,0,62,17,82.96070501,760.0363659,0.190372267,0.368441197,473,0
85,0.202957648,2,407,7,21.39670612,1542.496926,0.20720574,0.724231923,247,1
86,1.222835962,4,421,9,24.12702116,1839.791041,0.540325587,0.968130569,915,0
87,1.613260353,2,431,18,61.71802166,141.2383988,0.350669205,0.418795236,854,0
88,0.84568541,4,91,4,5.175855659,2573.940366,0.994834716,0.587070711,684,0
89,3.028070466,3,464,12,13.38806608,2413.649576,0.849934268,0.19717781,606,0
90,3.328525201,1,478,5,20.36614202,2776.12162,0.908075413,0.387552952,367,0
91,3.45861804,4,209,10,87.33305689,302.3710059,0.981027384,0.092984781,794,1
92,1.205395856,4,51,5,81.03163417,2555.106849,0.494397148,0.182733005,402,0
93,0.52353006,3,435,16,35.4982453,3953.777413,0.341653198,0.923805321,426,0
94,2.276434707,2,116,10,39.87380635,2385.824277,0.358645121,0.914908623,184,0
95,1.544406674,0,415,10,20.07562334,1350.078609,0.625850553,0.020407002,935,0
96,2.187633094,0,478,14,18.90674213,2926.25189,0.625637218,0.009525501,356,1
97,3.045130423,3,413,12,16.74380737,2535.42249,0.479580335,0.049134088,854,0
98,1.71130971,1,142,9,63.95790967,2161.985957,0.080404953,0.500933762,616,0
99,1.1355577,0,468,13,37.4150883,1668.549159,0.477183905,0.760236213,586,0
100,0.554412195,1,447,7,90.77207442,3054.26727,0.046618666,0.066489761,581,1
101,0.992337028,2,441,4,71.71966322,707.6139618,0.407034093,0.677415536,264,0
102,2.327452317,0,461,5,37.57722245,2504.696972,0.870506076,0.820916414,259,0
103,2.706935978,0,272,18,90.4724828,1694.650556,0.593319326,0.661377337,673,0
104,2.549524772,0,306,15,39.16048933,2378.643634,0.448673083,0.732740623,487,0
105,0.9419361,0,199,10,24.00467314,256.1171883,0.421563946,0.162476495,949,0
106,0.690960233,4,147,12,10.72261687,3771.063986,0.870489322,0.225408449,299,0
107,0.107494465,0,179,13,15.46377083,173.8845386,0.712991029,0.064900026,713,0
108,1.629753823,2,284,1,3.259820731,3203.180216,0.044555048,0.407406629,559,0
109,3.009804271,0,284,13,1.253607285,1979.66279,0.979866815,0.928451927,257,0
110,0.68826146,1,18,19,78.94341479,1854.235426,0.683225073,0.079486797,834,0
111,0.252167199,2,18,8,33.41536036,3908.540198,0.477227543,0.014348669,773,0
112,2.091670163,2,319,16,2.485929636,3114.052899,0.974906299,0.404818833,717,0
113,2.304173314,4,470,1,47.04626301,1149.294169,0.413407528,0.445397498,819,0
114,2.009514051,2,468,9,32.07154909,1645.509813,0.306788709,0.834045162,111,0
115,1.353133129,0,401,12,56.12290564,1762.697122,0.331471579,0.133507729,552,1
116,0.805588815,2,368,7,11.98765412,658.5316051,0.542501602,0.057696707,400,0
117,0.943561271,0,379,2,9.260488467,997.381714,0.890740663,0.065476035,574,0
118,2.028027324,0,259,17,37.9063436,68.26418523,0.769562375,0.866675215,845,0
119,3.050439371,3,114,9,88.96115932,3987.467534,0.69424729,0.256688455,502,1
120,1.328943688,1,241,8,77.77998364,1588.547603,0.04956776,0.636852574,938,0
121,0.44872796,3,430,12,35.67733922,564.4031211,0.670563454,0.795433347,376,0
122,3.323204293,4,100,6,28.52051938,3557.43401,0.10232232,0.075628472,189,0
123,1.488228494,2,71,16,23.91362383,711.6264238,0.703251783,0.853596768,515,1
124,3.339729421,2,62,2,58.70817776,1628.916166,0.897556196,0.637974038,819,0
125,2.611969272,3,49,15,90.50105767,3422.623033,0.095224931,0.518012616,966,0
126,0.840041688,3,251,2,90.69991932,3916.914443,0.979897608,0.080694688,301,0
127,2.166479004,3,222,8,43.05766013,2766.400166,0.442385725,0.31660858,276,0
128,0.30265639,1,339,1,28.49143049,1810.462469,0.869615391,0.681802904,322,0
129,3.135263142,4,483,11,38.32949623,579.2366431,0.245866358,0.614245636,199,0
130,2.519555603,4,452,9,93.86012553,696.2320021,0.780133534,0.207786454,258,0
131,3.491107919,3,33,16,59.5846764,805.4781191,0.570313207,0.902915402,471,0
132,0.324923417,3,442,18,79.89258989,1968.336924,0.765141652,0.545010105,789,0
133,2.723954757,2,374,18,11.88113353,3384.854781,0.837321555,0.308891289,962,0
134,2.33521846,3,66,9,77.85983325,2494.8832,0.661353188,0.019986073,178,0
135,0.450231478,2,68,3,76.65427789,811.8759188,0.425798967,0.213110079,441,0
136,0.348283838,4,325,6,52.16129773,3346.575226,0.430450887,0.013243082,226,0
137,0.410132167,4,408,7,48.93577375,3881.158105,0.639686588,0.298477884,567,0
138,3.134575343,4,278,2,45.91936705,3373.32426,0.669175025,0.27544529,432,0
139,2.152172013,2,147,2,60.04674927,3439.855572,0.274019202,0.851846039,302,0
140,2.276367901,2,230,7,48.49915398,1055.708865,0.828020006,0.496047132,228,0
141,0.243562004,1,40,7,21.029937,2490.357511,0.900887138,0.982536811,773,0
142,1.745064098,4,319,12,91.80158521,2759.258698,0.543000782,0.247774613,555,0
143,1.890865985,2,438,13,84.89317595,3067.827395,0.845883152,0.007665852,872,1
144,1.267514368,2,302,11,37.74051486,884.511392,0.387803744,0.657642636,615,1
145,0.228083599,1,427,5,1.420238125,2526.375606,0.097960332,0.293812484,372,0
146,2.45875431,3,319,17,13.64489183,262.5961172,0.470178417,0.072706601,672,1
147,2.427477396,2,317,12,4.02037457,1014.804475,0.565021528,0.527762205,907,0
148,2.51718713,0,326,6,89.62990962,2399.117401,0.838839478,0.571445444,752,0
149,3.083368696,0,191,12,14.12193018,2317.332508,0.568217954,0.353990919,226,0
150,2.123899906,0,13,18,43.82881992,459.7419098,0.264133848,0.408096136,137,0
151,1.944572804,1,35,9,35.05047735,3837.498722,0.084739745,0.309218754,682,0
152,1.16669362,4,434,5,21.4037131,635.0012188,0.857558629,0.624889015,274,0
153,1.263601988,4,150,5,70.67148427,67.09701785,0.392088775,0.70948534,910,0
154,0.887619247,0,265,5,31.12751994,75.5679809,0.059726227,0.290219526,513,0
155,1.440758064,4,216,1,67.28706504,2624.049118,0.719936348,0.54257544,466,0
156,2.1929914,4,160,10,32.58494891,1648.093259,0.154156649,0.030499672,293,0
157,2.320842002,2,401,14,26.65278407,1008.872747,0.608020686,0.520661677,658,0
158,2.04397519,3,223,16,91.83210411,2938.870559,0.12186602,0.709287447,279,0
159,1.068273408,0,415,5,65.15514305,801.8334829,0.867201321,0.90637996,122,1
160,1.199819941,1,250,8,87.34499764,526.911655,0.663711713,0.96890483,909,0
161,3.476327974,3,217,15,56.34825339,426.6901966,0.055961057,0.962322149,782,0
162,2.367973655,0,410,15,91.22054632,817.1798495,0.930341518,0.155165302,918,0
163,1.824775659,4,182,17,20.28696571,3221.136501,0.677621666,0.389288357,637,0
164,2.951812038,0,66,6,74.92668861,3786.333308,0.927337183,0.584943273,890,0
165,1.446194365,3,410,13,7.812675216,3899.952809,0.139776977,0.148875027,320,0
166,1.408592242,4,304,7,63.18064473,1537.785485,0.69720171,0.165617717,415,0
167,1.911449157,1,187,2,85.35904696,2926.732275,0.508596599,0.593125819,342,0
